Id,Anime Title,Rating,Studio,Source Material,Demographic,Genre,VAs
'35905','RyuuounoOshigoto!',6.86,ProjectNo.9,Lightnovel, 'n/a',"['Comedy', 'SliceofLife', 'StrategyGame']","['KanemotoHisako', 'HisakoHidaka', 'HidakaRina', 'RinaSakura', 'SakuraAyane', 'AyaneUchida', 'UchidaYuuma', 'YuumaOgura', 'OguraYui', 'YuiKayano', 'KayanoAi', 'AiTomatsu', 'TomatsuHaruka', 'HarukaShinoda', 'ShinodaMinami', 'MinamiIchimichi', 'IchimichiMao', 'MaoOkamoto', 'OkamotoNobuhiko']"
'36548','Kokkoku',7.00,GenoStudio,Manga, 'Seinen',"['Drama', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']","['AnzaiChika', 'ChikaYamaji', 'YamajiKazuhiro', 'KazuhiroIwata', 'IwataRyuuto', 'RyuutoGouda', 'GoudaHozumi', 'HozumiSeto', 'SetoAsami', 'AsamiTsujitani', 'TsujitaniKouji', 'KoujiYoshino', 'YoshinoHiroyuki', 'HiroyukiUchida', 'UchidaYuuya', 'YuuyaNabatame', 'NabatameHitomi', 'HitomiNojima', 'NojimaHirofumi']"
'34964','KillingBites',6.57,LIDENFILMS,Manga, 'Seinen',"['Action', 'Sci-Fi', 'Ecchi', 'Gore', 'Seinen']","['AmamiyaSora', 'SoraHatano', 'HatanoWataru', 'WataruUesaka', 'UesakaSumire', 'SumireUchida', 'UchidaMaaya', 'MaayaNakamura', 'NakamuraYuuichi', 'YuuichiTanaka', 'TanakaMinami', 'MinamiOno', 'OnoYuuki', 'YuukiHan', 'HanMegumi', 'MegumiKoyama', 'KoyamaRikiya']"
'36516','Beatless',6.20,Diomedéa,Lightnovel, 'n/a',"['Action', 'Drama', 'Romance', 'Sci-Fi']","['TouyamaNao', 'NaoYoshinaga', 'YoshinagaTakuto', 'TakutoTomioka', 'TomiokaMisako', 'MisakoAmamiya', 'AmamiyaSora', 'SoraSatake', 'SatakeUki', 'UkiOno', 'OnoSaki', 'SakiIgarashi', 'IgarashiHiromi', 'HiromiShimoji', 'ShimojiShino', 'ShinoSuyama', 'SuyamaEmiri', 'EmiriHanazawa', 'HanazawaKana']"
'36049','DagashiKashi2',6.83,TezukaProductions,Manga, 'Shounen',"['Comedy', 'Gourmet', 'RomanticSubtext', 'Shounen']","['TaketatsuAyana', 'AyanaAbe', 'AbeAtsushi', 'AtsushiNumakura', 'NumakuraManami', 'ManamiAkasaki', 'AkasakiChinatsu', 'ChinatsuSuzuki', 'SuzukiTatsuhisa', 'TatsuhisaFujiwara', 'FujiwaraKeiji', 'KeijiSugita', 'SugitaTomokazu']"
'36124','ItouJunji:Collection',6.40,StudioDeen,Manga, 'n/a',"['Drama', 'Horror', 'Mystery', 'Supernatural', 'Psychological']","['SuegaraRie', 'RieMitsuya', 'MitsuyaYuuji', 'YuujiKoyama', 'KoyamaMami', 'MamiMidorikawa', 'MidorikawaHikaru', 'HikaruShimono', 'ShimonoHiro', 'HiroNazuka', 'NazukaKaori', 'KaoriEbara', 'EbaraMasashi', 'MasashiKujira', 'KujiraYoshino', 'YoshinoHiroyuki']"
'35889','HakataTonkotsuRamens',7.38,Satelight,Novel, 'n/a',"['Action', 'Mystery']","['KajiYuuki', 'YuukiOno', 'OnoDaisuke', 'DaisukeOno', 'OnoKensho', 'KenshoNakamura', 'NakamuraYuuichi', 'YuuichiNamikawa', 'NamikawaDaisuke', 'DaisukeYuuki', 'YuukiAoi', 'AoiKobayashi', 'KobayashiYuusuke', 'YuusukeShimazaki', 'ShimazakiNobunaga', 'NobunagaMaeno', 'MaenoTomoaki', 'TomoakiOhara', 'OharaSayaka']"
'35828','MiiranoKaikata',7.47,8bit,Webmanga, 'n/a',"['Comedy', 'SliceofLife', 'Supernatural', 'Pets']","['KayanoAi', 'AiTamura', 'TamuraMutsumi', 'MutsumiKoumoto', 'KoumotoKeisuke', 'KeisukeTakahashi', 'TakahashiShinya', 'ShinyaKayano', 'KayanoAi', 'AiYamashita', 'YamashitaSeiichirou', 'SeiichirouAkaneya', 'AkaneyaHimika', 'HimikaKayano', 'KayanoAi', 'AiYamashita', 'YamashitaSeiichirou', 'SeiichirouNakao', 'NakaoRyusei']"
'33354','CardcaptorSakura:ClearCard-hen',7.65,Madhouse,Manga, 'Shoujo',"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'MahouShoujo', 'Shoujo']","['TangeSakura', 'SakuraKumai', 'KumaiMotoko', 'MotokoIwao', 'IwaoJunko', 'JunkoHisakawa', 'HisakawaAya', 'AyaOgata', 'OgataMegumi', 'MegumiOgata', 'OgataMegumi', 'MegumiSeki', 'SekiTomokazu', 'TomokazuYukana', 'YukanaSasaki', 'SasakiNozomu', 'NozomuTouma', 'ToumaYumi']"
'35078','MitsuboshiColors',7.42,SILVERLINK.,Manga, 'Shounen',"['Comedy', 'SliceofLife', 'CGDCT', 'Iyashikei', 'Shounen']","['HiokaNatsumi', 'NatsumiKouno', 'KounoMarika', 'MarikaTakada', 'TakadaYuuki', 'YuukiTamaru', 'TamaruAtsushi', 'AtsushiAsai', 'AsaiAyaka', 'AyakaGenda', 'GendaTesshou', 'TesshouSatou', 'SatouRina', 'RinaNumakura', 'NumakuraManami', 'ManamiNazuka', 'NazukaKaori', 'KaoriToujou', 'ToujouHisako']"
'35540','SlowStart',7.01,CloverWorks,4-komamanga, 'n/a',"['Comedy', 'SliceofLife', 'CGDCT', 'School']","['ItouAyasa', 'AyasaNaganawa', 'NaganawaMaria', 'MariaMineuchi', 'MineuchiTomomi', 'TomomiKondou', 'KondouReina', 'ReinaUchida', 'UchidaMaaya', 'MaayaNumakura', 'NumakuraManami', 'ManamiIchimichi', 'IchimichiMao', 'MaoKouno', 'KounoMarika', 'MarikaKusunoki', 'KusunokiTomori', 'TomoriHikasa', 'HikasaYouko']"
'35589','TojinoMiko',6.80,StudioGokumi,Original, 'n/a',"['Action', 'Fantasy']","['HondoKaede', 'KaedeOonishi', 'OonishiSaori', 'SaoriKino', 'KinoHina', 'HinaMatsuda', 'MatsudaRisae', 'RisaeWaki', 'WakiAzumi', 'AzumiSuzuki', 'SuzukiEri', 'EriMinase', 'MinaseInori', 'InoriIchimichi', 'IchimichiMao', 'MaoSeto', 'SetoAsami', 'AsamiFuchigami', 'FuchigamiMai']"
'35298','RamenDaisukiKoizumi-san',6.53,StudioGokumiAXsiZ,Manga, 'n/a',"['Comedy', 'Gourmet', 'SliceofLife', 'CGDCT']","['TaketatsuAyana', 'AyanaSakura', 'SakuraAyane', 'AyaneHara', 'HaraYumi', 'YumiKitou', 'KitouAkari', 'AkariKakuma', 'KakumaAi', 'AiToyosaki', 'ToyosakiAki', 'AkiUeda', 'UedaKana', 'KanaTamaru', 'TamaruAtsushi', 'AtsushiKataishi', 'KataishiChiharu', 'ChiharuNakamura', 'NakamuraYuuichi']"
'33899','IDOLiSH7',7.72,TROYCA,Game, 'n/a',"['Drama', 'Idols', '(Male)', 'Music']","['OnoKensho', 'KenshoAbe', 'AbeAtsushi', 'AtsushiMasuda', 'MasudaToshiki', 'ToshikiYonaga', 'YonagaTsubasa', 'TsubasaKENN', 'KENNEguchi', 'EguchiTakuya', 'TakuyaShirai', 'ShiraiYuusuke', 'YuusukeSaitou', 'SaitouSouma', 'SoumaHatano', 'HatanoWataru', 'WataruHoshi', 'HoshiSouichirou']"
'36094','HakumeitoMikochi',7.67,Lerche,Manga, 'Seinen',"['Fantasy', 'SliceofLife', 'Iyashikei', 'Seinen']","['MatsudaRisae', 'RisaeShimoji', 'ShimojiShino', 'ShinoAnzai', 'AnzaiChika', 'ChikaOgura', 'OguraYui', 'YuiMatsukaze', 'MatsukazeMasaya', 'MasayaYuuki', 'YuukiAoi', 'AoiOgata', 'OgataMegumi', 'MegumiTakahashi', 'TakahashiRie', 'RieTsuda', 'TsudaKenjirou', 'KenjirouSasa', 'SasaKenta']"
'34839','SanrioDanshi',6.67,Pierrot,Mixedmedia, 'n/a',"['Drama', 'SliceofLife', 'School']","['SaitouSouma', 'SoumaOosuka', 'OosukaJun', 'JunEguchi', 'EguchiTakuya', 'TakuyaKagura', 'KaguraHiroyuki', 'HiroyukiUchida', 'UchidaYuuma', 'YuumaSuzuki', 'SuzukiChihiro', 'ChihiroInoue', 'InoueKikuko', 'KikukoFurukawa', 'FurukawaMakoto', 'MakotoKishio', 'KishioDaisuke', 'DaisukeHatano', 'HatanoWataru']"
'35757','GinnoGuardianII',6.53,EmonBlade,Webmanga, 'n/a',"['Adventure', 'Fantasy']","['FukuyamaJun', 'JunSaitou', 'SaitouYuka', 'YukaAsumi', 'AsumiKana']"
'35789','YowamushiPedal:GloryLine',7.58,TMSEntertainment,Manga, 'Shounen',"['Sports', 'Shounen']","['YamashitaDaiki', 'DaikiFukushima', 'FukushimaJun', 'JunKishio', 'KishioDaisuke', 'DaisukeToriumi', 'ToriumiKousuke', 'KousukeMatsuoka', 'MatsuokaYoshitsugu', 'YoshitsuguShimono', 'ShimonoHiro', 'HiroYusa', 'YusaKouji', 'KoujiMorikubo', 'MorikuboShoutarou', 'ShoutarouYoshino', 'YoshinoHiroyuki', 'HiroyukiYonaga', 'YonagaTsubasa']"
'36847','NanatsunoBitoku',5.23,Bridge,Mixedmedia, 'n/a',"['Fantasy', 'Ecchi']","['NakamuraSakura', 'SakuraOzawa', 'OzawaAri', 'AriUchiyama', 'UchiyamaYumi', 'YumiLynn', 'LynnSeto', 'SetoAsami', 'AsamiNitta', 'NittaHiyori', 'HiyoriIzawa', 'IzawaShiori']"
'36108','Takunomi.',6.42,ProductionIMS,Webmanga, 'n/a',"['Comedy', 'Gourmet', 'SliceofLife', 'CGDCT']","['AnzaiChika', 'ChikaImamura', 'ImamuraAyaka', 'AyakaUchida', 'UchidaMaaya', 'MaayaKomatsu', 'KomatsuMikako', 'MikakoYasuno', 'YasunoKiyono']"
